6461-0.06, 1019.72, 23.61,27,252,11,-76,-83,-8,-8,-465,290
65560.27, 1019.72, 23.61,28,252,15,-78,32,-9,-8,-462,293
6651-0.33, 1019.72, 23.62,26,254,15,-75,-73,-10,-11,-466,292
6747-0.21, 1019.80, 23.60,28,253,16,-75,-20,-15,-10,-465,293
6842-0.27, 1019.73, 23.62,26,252,15,-86,-98,-7,-12,-462,289
69370.30, 1019.67, 23.62,30,252,17,-66,86,-13,-9,-466,289
70320.13, 1019.68, 23.62,28,254,22,-85,-149,-13,-8,-465,293
7134-0.12, 1019.73, 23.61,22,253,14,-66,87,-10,-8,-465,291
7229-0.18, 1019.70, 23.61,29,253,16,-90,-88,-12,-7,-462,291
7324-0.06, 1019.72, 23.62,29,252,16,-66,-28,-12,-10,-463,290
7419-0.24, 1019.70, 23.63,29,254,18,-77,-47,-6,-7,-464,291
7515-0.39, 1019.78, 23.62,35,255,14,-81,24,-14,-13,-464,292
7611-0.12, 1019.73, 23.62,27,244,9,-90,-44,-15,-10,-466,293
77060.28, 1019.75, 23.62,29,255,17,-77,-40,-9,-7,-464,293
7801-0.54, 1019.73, 23.62,28,253,13,-64,-22,-10,-7,-465,293
7897-0.12, 1019.71, 23.63,29,257,24,-82,5,-17,-7,-463,292
7997-0.08, 1019.71, 23.62,26,254,17,-69,3,-10,-7,-463,291
8092-0.06, 1019.72, 23.62,30,254,23,-76,-32,-12,-7,-464,291
8188-0.77, 1019.80, 23.62,23,255,22,-84,-29,-11,-12,-463,292
8284-0.33, 1019.72, 23.63,27,254,19,-69,-34,-10,-12,-462,294
8379-0.35, 1019.70, 23.63,26,255,22,-82,-19,-14,-10,-465,288
8474-0.51, 1019.74, 23.62,26,253,16,-77,-24,-8,-10,-464,290
8570-0.48, 1019.73, 23.62,25,253,17,-75,-70,-10,-9,-465,293
8666-0.15, 1019.74, 23.62,28,254,21,-73,-13,-13,-9,-467,293
8804-0.39, 1019.74, 23.62,25,254,14,-83,-60,-8,-10,-463,290
8903-0.51, 1019.78, 23.62,22,251,16,-73,4,-8,-11,-464,294
8998-0.21, 1019.71, 23.61,25,255,17,-81,-67,-13,-12,-464,292
9094-0.33, 1019.76, 23.62,26,254,18,-71,47,-12,-9,-466,293
91890.01, 1019.77, 23.62,26,253,20,-79,-98,-8,-7,-466,292
